,Total,Sedan,Suv
1,2,2,
2,4,4,
3,4,4,
4,2,2,
5,3,3,
6,3,3,
7,3,3,
8,4,4,
9,4,4,
10,4,4,
11,4,4,
12,4,4,
13,3,3,
14,4,4,
15,3,3,
16,4,4,
17,4,4,
18,4,4,
19,3,3,
20,3,3,
21,3,3,
22,3,3,
23,3,3,
24,3,3,
25,3,3,
26,3,3,
27,3,3,
28,3,3,
29,3,3,
30,3,3,
31,3,3,
32,3,3,
33,3,3,
34,3,3,
35,3,3,
36,2,2,
37,2,2,
38,3,3,
39,3,3,
40,3,3,
41,3,3,
42,3,3,
43,3,3,
44,3,3,
45,3,3,
46,3,3,
47,3,3,
48,3,3,
49,3,3,
50,3,3,
51,3,3,
52,3,3,
53,4,4,
54,4,4,
55,4,4,
56,4,4,
57,4,4,
58,4,4,
59,4,4,
60,4,4,
61,5,5,
62,4,4,
